Size_Decile,HBI_Quintile,Alpha_Daily,Alpha_Annualized,Beta_Mktrf,Beta_Smb,Beta_Hml,Beta_Umd,Residual_Std,R_Squared,N_Observations
6,5,9.704002887596921e-05,0.024754324903509817,0.957658975039501,0.8459745840020424,0.4408091773655265,0.02653819501285885,0.004065728894114942,0.9137494167082886,2897267
7,1,-0.00011761062374984518,-0.029204674445635126,1.1996761355380632,1.3344599683613914,-0.43809161981126366,-0.21508952944914964,0.005616786878259556,0.9313288892224478,2897267
7,2,3.001060567300267e-05,0.007591227525319155,1.0306733580649412,1.0976981638777874,-0.17548702841293012,-0.08506041202508167,0.00368643959916541,0.9514823898891932,2897267
7,3,0.00011251324424049195,0.02875747862418576,1.0104491652830252,0.897313670589369,0.10769062786345879,-0.08271428971157352,0.002989539272038147,0.9599560391388735,2897267
7,4,9.276497907575082e-05,0.023651043309425912,1.0019583911555996,0.8149691746719088,0.2716432459214991,-0.00014601357478477464,0.0031777865111377174,0.9481971537260341,2897267
7,5,0.00012219903269942655,0.03127126069469566,0.9430631962330637,0.6852357083352871,0.32884464269817615,0.06958726238193064,0.003691938450234886,0.9150593796110096,2897267
8,1,-0.00041758135023593984,-0.0999027604278162,1.2458705981444962,0.9203750027954438,-0.278815663734535,-0.30733284497209806,0.005177808867792193,0.9343659503062023,2897267
8,2,5.077349521372633e-05,0.012876797028907427,1.0750004182673822,0.7759015843387972,0.005732224812131119,-0.1357533132126992,0.0034437756660276367,0.9515351970838799,2897267
8,3,0.00013998329216395413,0.03590280393981615,1.0069794555738876,0.7024033763015627,0.16429687938919757,-0.034943355789960086,0.0030417380402237982,0.9510336632844625,2897267
8,4,2.0004568094047207e-05,0.005053828463928323,0.9150660057351626,0.5901926967355784,0.2624640579330576,0.011167774736975972,0.0029798353029375684,0.938895346400264,2897267
8,5,0.00022215003243208995,0.057571869058242964,0.8456234757639994,0.6271913350269586,0.24538441031338165,0.06746446365553908,0.003393724433111488,0.9116278815179264,2897267
9,1,-0.00015034931128609792,-0.03718199727765048,1.1056249372974127,0.4428330126842204,0.03449351809390782,-0.3255586276306151,0.004032456494099963,0.936464462227592,2897267
9,2,-0.00013233347894762762,-0.03280025508811313,1.0302059305431417,0.39447025034835914,0.06736350116009762,-0.21475677392060952,0.003564868054052981,0.9364962566538432,2897267
9,3,9.205757958840195e-05,0.023468595615839583,0.9573806833503916,0.4079482370417799,0.1125383159779877,-0.08346448482538406,0.0032824972455954785,0.9311762309097128,2897267
9,4,4.2068141640636046e-05,0.010657337854026672,0.9571358878892513,0.42306711290975685,0.22970871851253935,-0.03140872166946069,0.003276714710679989,0.9271435454804592,2897267
9,5,-1.8496502486064023e-05,-0.004650315378615155,0.9055043322836687,0.39629495556125577,0.2279712232216258,0.06423291230626198,0.0036825004787620517,0.8928938302408351,2897267
10,1,1.588532183529267e-05,0.0040110922914395886,0.9881505590631422,-0.05949843420091362,0.15900885717427374,-0.11343653323226462,0.0020680939123359386,0.9671953097833621,2897267
10,2,-8.817644742700341e-05,-0.021976366855653295,0.9930448103196502,0.017105745687905127,0.06401467114299657,-0.15879826717885115,0.003601330067011939,0.9162985147864952,2897267
10,3,-0.00010056665274128463,-0.025025606003013734,0.9375009625930365,0.07908469495336369,0.11700635432985831,-0.11996339075132333,0.002978515025773769,0.932569292813707,2897267
10,4,-7.107417897048302e-05,-0.017751875193071753,0.9179043780384721,0.14690601965940617,0.1312554897440993,-0.09594681193199375,0.003100353044199236,0.924737364963824,2897267
10,5,3.7172918533569195e-05,0.00941141278574742,0.853345226126766,0.21570548428878797,0.1110003190505872,0.03242267964026824,0.0033388969753333033,0.8954578997447481,2897267
